id;name;price;description
3090a85f-db9c-465e-bc55-cb21cecea3b7;withdrawal THX Division;13165;Card
7d6b9615-f87e-4dd4-8a47-309b8258724b;Car;16911;Oklahoma
634f17fc-f59e-43c0-9ed8-9f3108264847;Crossroad CSS;15521;Keyboard
e70134eb-9049-4cda-ac5f-c9c7ec4c3d21;Arizona mobile;44109;User-friendly Data navigate
675d0e96-9014-4e41-9f01-a2468fc20e58;Zimbabwe Games Balboa;96045;multi-byte clicks-and-mortar Outdoors
e880f124-3a14-4e5c-916e-f048ebc7c991;Coordinator Sausages;15800;Administrator CFA
7a2454cf-d177-44b3-bafc-6895a23d52cd;deposit clear-thinking focus;25664;Man Small
837f44d9-2c65-4985-a522-a23798b99aff;markets;98878;Electronics
250fc18c-2f40-486e-81e4-878fedfa0335;withdrawal Facilitator Nebraska;96873;Future revolutionize Orchestrator
f2ca858d-e238-4c69-a74a-909e414a49c1;Plastic;67862;Malta matrix Unbranded
